index_column,taxumap1,taxumap2
220207-LD-239.08,38.431366,22.304062
220207-LD-244.03,37.460247,23.689426
220207-LD-244.05,37.489403,23.161037
220207-LD-244.06,37.42856,23.829521
220207-LD-246.04,41.65756,12.409526
220207-LD-246.05,41.63162,12.206552
220207-LD-250.01,41.754696,10.894558
220207-LD-250.03,42.033325,12.078443
220207-LD-253.03,41.48512,13.371433
220207-LD-254.01,41.367535,11.119681
220207-LD-256.01,38.905273,12.001775
220207-LD-256.03,39.00769,11.929496
220207-LD-256.04,39.041786,12.135218
220207-LD-257.01,40.555534,14.82649
220207-LD-258.01,38.34993,22.811155
220207-LD-258.03,39.814922,18.372005
220207-LD-258.04,37.88729,23.046104
220207-LD-260.03,36.679977,24.372217
220207-LD-260.05,36.674706,24.371662
220207-LD-260.06,36.673763,24.349556
220207-LD-261.01,39.971214,11.976741
220207-LD-262.01,39.70501,16.628216
220207-LD-262.03,40.565735,16.874174
220207-LD-264.01,40.850742,11.82709
220207-LD-264.03,40.996624,11.788402
220207-LD-264.04,41.019978,11.749935
220207-LD-264.05,41.255066,11.679374
220207-LD-264.06,41.352,11.574175
220207-LD-264.07,41.87762,11.939873
220207-LD-265.01,41.415855,11.408742
220207-LD-266.01,41.50537,10.637366
220207-LD-266.02,41.47284,10.749538
220207-LD-268.01,37.896236,17.79598
220207-LD-269.01,41.649807,13.300126
220207-LD-270.01,41.666626,11.492241
220207-LD-270.03,38.928116,12.039003
220207-LD-271.01,41.710487,12.757158
220325-LD-002.11,37.881428,22.555994
220325-LD-002.12,36.660572,24.40503
220325-LD-002.13,37.845863,23.37274
220325-LD-002.15,37.799576,22.60737
220325-LD-002.16,37.835228,22.614164
220325-LD-028.09,37.28318,22.67527
220325-LD-028.10,38.064846,18.575766
220325-LD-028.11,38.02074,18.035751
220325-LD-029.09,37.892784,22.372185
220325-LD-037.04,37.50524,23.259378
220325-LD-129.21,40.661663,10.899946
220325-LD-129.22,37.103107,23.290161
220325-LD-150.01,40.474327,16.090866
220325-LD-150.04,37.021183,24.020517
220325-LD-150.05,37.015522,23.275934
220325-LD-150.06,37.09468,23.655315
220325-LD-187.18,40.793934,11.795539
220325-LD-195.05,42.107758,12.306535
220325-LD-203.09,41.59476,13.655261
220325-LD-203.10,37.966843,22.3696
220325-LD-250.04,42.04299,12.016436
220325-LD-260.07,36.729305,24.442404
220325-LD-262.04,40.493637,16.89098
220325-LD-264.08,41.485264,13.483604
220325-LD-264.09,41.936695,11.877322
220325-LD-264.11,41.57066,12.717177
220325-LD-266.04,38.418568,11.888321
220325-LD-268.03,40.68467,15.038995
220325-LD-268.05,40.26572,16.516428
220325-LD-270.04,38.438335,11.542341
220325-LD-278.01,41.72791,10.806434
220325-LD-279.01,41.412243,12.654502
220325-LD-279.02,41.030388,12.233897
220325-LD-279.03,41.041,12.231969
220325-LD-279.04,40.981243,12.182719
220325-LD-281.01,41.51344,12.209823
220325-LD-283.01,41.635433,13.13025
220325-LD-284.01,40.13928,15.480526
220325-LD-284.02,41.33223,13.565699
220325-LD-285.01,36.739,24.332027
220325-LD-285.02,36.69192,24.358536
220325-LD-286.01,38.19452,12.112276
220325-LD-288.01,40.85933,11.93076
220325-LD-289.01,41.727356,13.387277
220325-LD-290.01,41.44833,12.85129
220325-LD-291.01,41.045963,11.425634
220401-LD-028.12,38.07011,18.61813
220401-LD-028.13,38.328636,12.210492
220401-LD-029.10,37.36298,23.89557
220401-LD-094.08,40.088093,15.564172
220401-LD-118.07,40.499588,14.795221
220401-LD-119.12,39.981434,16.90935
220401-LD-119.13,37.412663,22.286377
220401-LD-123.39,40.68505,13.457045
220401-LD-123.41,40.339672,12.641229
220401-LD-129.24,40.77253,10.932354
220401-LD-129.25,37.971397,21.523033
