index_column,taxumap1,taxumap2
211106-LD-138.03,44.832554,-14.271708
211106-LD-147.01,45.999355,-13.408097
211106-LD-153.01,44.4701,-14.663828
211106-LD-161.01,44.44936,-14.967269
211106-LD-161.03,44.336292,-14.879819
211106-LD-161.05,44.54852,-15.011798
211106-LD-161.06,44.87916,-14.889748
211106-LD-167.01,45.554245,-13.255258
211106-LD-167.02,45.792583,-13.360846
211106-LD-168.01,45.025486,-14.831752
211106-LD-169.02,54.888794,-10.945794
211106-LD-170.01,43.87163,-11.868704
211106-LD-171.01,43.719376,-11.241267
211106-LD-172.01,44.483055,-14.184602
211106-LD-174.01,56.79412,-10.893444
211106-LD-177.01,46.58582,-14.204845
211106-LD-177.02,46.579895,-14.131663
211106-LD-178.01,45.230698,-13.033304
211106-LD-179.01,44.013306,-12.406734
211106-LD-179.03,43.779285,-11.785599
211106-LD-183.01,49.613605,-13.58774
211106-UC-077.04,51.225224,-10.804884
211106-UC-077.05,51.385685,-10.710067
211106-UC-081.02,45.352108,-14.348089
211126-LD-022.04,45.301495,-11.784211
211126-LD-022.06,45.304585,-14.710466
211126-LD-024.12,50.828472,-10.97831
211126-LD-024.13,47.99569,-12.599976
211126-LD-028.07,44.213085,-11.118232
211126-LD-129.01,45.693058,-13.334563
211126-LD-129.02,47.553608,-12.594475
211126-LD-129.04,44.27208,-14.449086
211126-LD-129.06,43.974243,-14.127146
211126-LD-129.07,43.74246,-11.52363
211126-LD-129.09,44.078922,-11.622526
211126-LD-129.10,56.811665,-10.74707
211126-LD-136.13,43.982227,-10.998502
211126-LD-138.04,45.690056,-14.035957
211126-LD-138.05,45.768356,-13.451238
211126-LD-138.06,49.8659,-11.282012
211126-LD-138.08,43.941006,-14.662827
211126-LD-146.07,49.473747,-12.841258
211126-LD-146.09,49.45156,-13.070268
211126-LD-146.10,49.357616,-13.203673
211126-LD-146.11,49.420795,-12.948391
211126-LD-146.14,51.34914,-10.734454
211126-LD-146.15,56.584995,-10.682442
211126-LD-146.16,50.370625,-10.777902
211126-LD-146.18,57.259342,-10.916576
211126-LD-149.04,56.673283,-10.745563
211126-LD-161.10,45.17933,-14.762949
211126-LD-161.11,43.92741,-14.707012
211126-LD-161.14,58.015102,-10.477536
211126-LD-161.15,50.50899,-10.645837
211126-LD-161.16,44.482304,-14.933508
211126-LD-168.05,43.78586,-11.883904
